RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,LOC_ADDED_AVG,LOC_ADDED_MAX,LOC_REMOVED,LOC_REMOVED_AVG,LOC_REMOVED_MAX,LOC_TOUCHED,LOC_TOUCHED_AVG,LOC_TOUCHED_MAX,CHURN,CHURN_AVG,CHURN_MAX,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,235,58.75,235,98,24.5,98,333,83.25,333,139,34.75,139,4,0,2,NO
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,340,68.0,340,96,19.2,96,436,87.2,436,262,52.4,262,5,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,1246,89.0,1246,220,15.714286,220,1466,104.71429,1466,1026,73.28571,1026,14,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,121,40.333332,121,29,9.666667,29,150,50.0,150,92,30.666666,92,3,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,195,48.75,195,15,3.75,15,210,52.5,210,180,45.0,180,4,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,633,70.333336,633,162,18.0,162,795,88.333336,795,551,61.22222,551,9,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,210,42.0,210,6,1.2,6,216,43.2,216,204,40.8,204,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,621,88.71429,621,70,10.0,70,691,98.71429,691,557,79.57143,557,7,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,168,33.6,168,19,3.8,19,187,37.4,187,149,29.8,149,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,164,54.666668,164,7,2.3333333,7,171,57.0,171,157,52.333332,157,3,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,147,147.0,147,0,0.0,0,147,147.0,147,147,147.0,147,1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,269,53.8,269,132,26.4,132,401,80.2,401,141,28.2,141,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,280,70.0,280,9,2.25,9,289,72.25,289,271,67.75,271,4,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,1040,115.55556,1040,492,54.666668,492,1532,170.22223,1532,548,60.88889,548,9,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728,931,155.16667,931,203,33.833332,203,1134,189.0,1134,882,147.0,882,6,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,205,212,53.0,212,7,1.75,7,219,54.75,219,205,51.25,205,4,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,50,53,26.5,53,3,1.5,3,56,28.0,56,50,25.0,50,2,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,185,207,41.4,207,22,4.4,22,229,45.8,229,185,37.0,185,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61,66,22.0,66,5,1.6666666,5,71,23.666666,71,61,20.333334,61,3,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,157,210,26.25,210,53,6.625,53,263,32.875,263,181,22.625,181,8,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,92,23.0,92,11,2.75,11,103,25.75,103,81,20.25,81,4,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,133,44.333332,133,49,16.333334,49,182,60.666668,182,84,28.0,84,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,762,1462,121.833336,1462,700,58.333332,700,2162,180.16667,2162,770,64.166664,770,12,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,248,288,41.142857,288,40,5.714286,40,328,46.857143,328,252,36.0,252,7,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,169,232,25.777779,232,63,7.0,63,295,32.77778,295,171,19.0,171,9,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,196,224,37.333332,224,28,4.6666665,28,252,42.0,252,196,32.666668,196,6,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,67,76,19.0,76,9,2.25,9,85,21.25,85,67,16.75,67,4,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,165,182,45.5,182,17,4.25,17,199,49.75,199,165,41.25,165,4,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,173,193,48.25,193,20,5.0,20,213,53.25,213,173,43.25,173,4,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,103,127,21.166666,127,24,4.0,24,151,25.166666,151,107,17.833334,107,6,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,78,78,78.0,78,0,0.0,0,78,78.0,78,78,78.0,78,1,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,87,88,44.0,88,1,0.5,1,89,44.5,89,87,43.5,87,2,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,86,43.0,86,1,0.5,1,87,43.5,87,85,42.5,85,2,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,105,106,53.0,106,1,0.5,1,107,53.5,107,105,52.5,105,2,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,216,224,56.0,224,8,2.0,8,232,58.0,232,216,54.0,216,4,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,377,397,99.25,397,20,5.0,20,417,104.25,417,377,94.25,377,4,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,253,255,127.5,255,2,1.0,2,257,128.5,257,253,126.5,253,2,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,193,193,193.0,193,0,0.0,0,193,193.0,193,193,193.0,193,1,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,514,514,514.0,514,0,0.0,0,514,514.0,514,514,514.0,514,1,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,204,204,204.0,204,0,0.0,0,204,204.0,204,204,204.0,204,1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,144,144,144.0,144,0,0.0,0,144,144.0,144,144,144.0,144,1,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,98,98.0,98,0,0.0,0,98,98.0,98,98,98.0,98,1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,181,203,29.0,203,22,3.142857,22,225,32.142857,225,189,27.0,189,7,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,154,162,40.5,162,8,2.0,8,170,42.5,170,154,38.5,154,4,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,489,44.454544,489,96,8.727273,96,585,53.18182,585,399,36.272728,399,11,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,139,46.333332,139,7,2.3333333,7,146,48.666668,146,132,44.0,132,3,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,556,69.5,556,23,2.875,23,579,72.375,579,535,66.875,535,8,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,683,75.888885,683,80,8.888889,80,763,84.77778,763,607,67.44444,607,9,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,148,148.0,148,0,0.0,0,148,148.0,148,148,148.0,148,1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,184,61.333332,184,10,3.3333333,10,194,64.666664,194,174,58.0,174,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,158,52.666668,158,10,3.3333333,10,168,56.0,168,148,49.333332,148,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,834,139.0,834,742,123.666664,742,1576,262.66666,1576,1442,240.33333,1442,6,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,438,73.0,438,204,34.0,204,642,107.0,642,234,39.0,234,6,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,59,19.666666,59,5,1.6666666,5,64,21.333334,64,54,18.0,54,3,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,43,21.5,43,5,2.5,5,48,24.0,48,38,19.0,38,2,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,102,51.0,102,4,2.0,4,106,53.0,106,98,49.0,98,2,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,49,16.333334,49,10,3.3333333,10,59,19.666666,59,39,13.0,39,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,98,32.666668,98,29,9.666667,29,127,42.333332,127,119,39.666668,119,3,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,94,94.0,94,0,0.0,0,94,94.0,94,94,94.0,94,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72,72,72.0,72,0,0.0,0,72,72.0,72,72,72.0,72,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,42,42.0,42,0,0.0,0,42,42.0,42,42,42.0,42,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,56,18.666666,56,8,2.6666667,8,64,21.333334,64,48,16.0,48,3,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,67,33.5,67,4,2.0,4,71,35.5,71,63,31.5,63,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,237,257,128.5,257,20,10.0,20,277,138.5,277,237,118.5,237,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,133,139,46.333332,139,6,2.0,6,145,48.333332,145,133,44.333332,133,3,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137,150,37.5,150,13,3.25,13,163,40.75,163,137,34.25,137,4,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,177,181,60.333332,181,4,1.3333334,4,185,61.666668,185,177,59.0,177,3,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,47,23.5,47,1,0.5,1,48,24.0,48,46,23.0,46,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,128,137,27.4,137,9,1.8,9,146,29.2,146,128,25.6,128,5,0,3,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,149,152,50.666668,152,3,1.0,3,155,51.666668,155,149,49.666668,149,3,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,58,59,29.5,59,1,0.5,1,60,30.0,60,58,29.0,58,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,149,152,76.0,152,3,1.5,3,155,77.5,155,149,74.5,149,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,74,78,39.0,78,4,2.0,4,82,41.0,82,74,37.0,74,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,37,37,37.0,37,0,0.0,0,37,37.0,37,37,37.0,37,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,40,20.0,40,2,1.0,2,42,21.0,42,38,19.0,38,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,39,40,20.0,40,1,0.5,1,41,20.5,41,39,19.5,39,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,96,107,26.75,107,11,2.75,11,118,29.5,118,96,24.0,96,4,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,88,91,30.333334,91,3,1.0,3,94,31.333334,94,88,29.333334,88,3,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,71,78,19.5,78,7,1.75,7,85,21.25,85,71,17.75,71,4,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,114,123,30.75,123,9,2.25,9,132,33.0,132,114,28.5,114,4,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,336,414,69.0,414,78,13.0,78,492,82.0,492,336,56.0,336,6,0,3,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,84,93,23.25,93,9,2.25,9,102,25.5,102,84,21.0,84,4,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,58,63,21.0,63,5,1.6666666,5,68,22.666666,68,58,19.333334,58,3,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,123,130,32.5,130,7,1.75,7,137,34.25,137,123,30.75,123,4,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,369,369,369.0,369,0,0.0,0,369,369.0,369,369,369.0,369,1,0,1,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,231,243,48.6,243,12,2.4,12,255,51.0,255,231,46.2,231,5,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,586,645,161.25,645,59,14.75,59,704,176.0,704,586,146.5,586,4,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,366,390,78.0,390,24,4.8,24,414,82.8,414,366,73.2,366,5,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,99,108,27.0,108,9,2.25,9,117,29.25,117,99,24.75,99,4,0,2,YES
